species_id,canonical,edge_origin,source_canonical,target_canonical,effect,source_types,mean_confidence,max_confidence,n_evidence_sentences,source_raw_examples,source_canonical_examples,semantic_cluster_ids,sentence_ids,evidence_quotes,assumption,expert_decision,expert_source_edit,expert_target_edit,expert_effect_edit,expert_notes
demo_002,Koenigia islandica,text_extracted,warmer_drier_summers,habitat suitability,negative,climate,1.0,1.0,2,warmer drier summers,warmer_drier_summers,climate_003,4; 5,warmer drier summers could increase stress on the shallow wet substrates used by the species.,,,,,,
demo_003,Lagurus ovatus,text_extracted,bare_sand,habitat suitability,positive,habitat_structure; soil_substrate,1.0,1.0,2,bare sand,bare_sand,habitat_structure_001; soil_substrate_001,0; 1,"It is favored by bare sand and warm open microsites, and can also appear from garden escapes. || is favoured by bare sand and warm open microsites",,,,,,
demo_003,Lagurus ovatus,text_extracted,closed_dune_grassland,habitat suitability,negative,habitat_structure,1.0,1.0,1,closed dune grassland,closed_dune_grassland,habitat_structure_002,2,Closed dune grassland and lack of disturbance reduce the open ground needed for recruitment.,,,,,,
demo_003,Lagurus ovatus,text_extracted,seed_supply,population performance,positive,disturbance,1.0,1.0,1,seed supply,seed_supply,disturbance_004,5,Continued seed supply from gardens and disturbed urban ground may support local spread.,,,,,,
demo_003,Lagurus ovatus,text_extracted,severe_winter_cold,habitat suitability,negative,climate,1.0,1.0,1,severe winter cold,severe_winter_cold,climate_001,4,while severe winter cold may limit establishment inland,,,,,,
demo_003,Lagurus ovatus,text_extracted,severe_winter_cold,population performance,negative,disturbance,1.0,1.0,2,severe winter cold,severe_winter_cold,disturbance_005,3; 5,severe winter cold may limit establishment inland. || while severe winter cold may limit establishment inland.,,,,,,
demo_003,Lagurus ovatus,text_extracted,warm_microsites,habitat suitability,positive,habitat_structure,1.0,1.0,1,warm open microsites,warm_microsites,habitat_structure_008,1,is favoured by bare sand and warm open microsites,,,,,,
demo_004,Lamium confertum,text_extracted,managed_cultivated_ground,abundance,negative,habitat_structure,1.0,1.0,1,lightly managed cultivated ground,managed_cultivated_ground,habitat_structure_005,3,Declines are consistent with the loss of lightly managed cultivated ground.,,,,,,
demo_004,Lamium confertum,text_extracted,modern_weed_control,abundance,negative,management,1.0,1.0,1,modern weed control,modern_weed_control,management_003,2,"Modern weed control, autumn-sown dense crops and reduced small-scale cultivation can lower the chance of plants reaching maturity.",,,,,,
demo_004,Lamium confertum,text_extracted,soil,abundance,positive,habitat_structure,1.0,1.0,1,open soil,soil,habitat_structure_007,0,requires open soil for germination,,,,,,
demo_004,Lamium confertum,text_extracted,soil,habitat suitability,positive,soil_substrate,1.0,1.0,1,open soil,soil,soil_substrate_005,1,It requires open soil for germination and is easily overlooked among other dead-nettles.,,,,,,
demo_005,Larix decidua,text_extracted,continued_planting,abundance,positive,management,1.0,1.0,1,continued planting,continued_planting,management_001,4,although continued planting creates new seed sources in some landscapes,,,,,,
demo_005,Larix decidua,text_extracted,disturbed_mineral_soil,abundance,positive,disturbance,0.9,0.9,1,disturbed mineral soil,disturbed_mineral_soil,disturbance_003,0,regenerates from seed on disturbed mineral soil,,,,,,
demo_005,Larix decidua,text_extracted,disturbed_mineral_soil,habitat suitability,positive,soil_substrate,1.0,1.0,1,disturbed mineral soil,disturbed_mineral_soil,soil_substrate_003,1,regenerates from seed on disturbed mineral soil,,,,,,
demo_005,Larix decidua,text_extracted,larch_pathogens,abundance,negative,disease_pathogen,0.85,1.0,2,larch pathogens,larch_pathogens,disease_pathogen_001,4; 5,Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance,,,,,,
demo_005,Larix decidua,text_extracted,rocky_ground,habitat suitability,positive,soil_substrate,1.0,1.0,1,open rocky ground,rocky_ground,soil_substrate_004,1,"regenerates from seed on disturbed mineral soil, scree and open rocky ground",,,,,,
demo_005,Larix decidua,text_extracted,sites_waterlogged_soils,habitat suitability,negative,hydrology,1.0,1.0,1,dry sites and waterlogged soils,sites_waterlogged_soils,hydrology_002,2,Very dry sites and waterlogged soils are less suitable for establishment.,,,,,,
demo_005,Larix decidua,text_extracted,soil_disturbance,abundance,positive,disturbance,1.0,1.0,1,soil disturbance,soil_disturbance,disturbance_006,3,Natural regeneration can follow soil disturbance near planted trees.,,,,,,
demo_001,Kickxia spuria,model_bridge,habitat suitability,abundance,positive,model_assumption,,,0,,habitat suitability,,,,Assumes that higher habitat suitability tends to support higher abundance.,,,,,
demo_002,Koenigia islandica,model_bridge,habitat suitability,abundance,positive,model_assumption,,,0,,habitat suitability,,,,Assumes that higher habitat suitability tends to support higher abundance.,,,,,
demo_003,Lagurus ovatus,model_bridge,habitat suitability,abundance,positive,model_assumption,,,0,,habitat suitability,,,,Assumes that higher habitat suitability tends to support higher abundance.,,,,,
demo_003,Lagurus ovatus,model_bridge,population performance,abundance,positive,model_assumption,,,0,,population performance,,,,Assumes that higher population performance tends to support higher abundance.,,,,,
demo_004,Lamium confertum,model_bridge,habitat suitability,abundance,positive,model_assumption,,,0,,habitat suitability,,,,Assumes that higher habitat suitability tends to support higher abundance.,,,,,
demo_005,Larix decidua,model_bridge,habitat suitability,abundance,positive,model_assumption,,,0,,habitat suitability,,,,Assumes that higher habitat suitability tends to support higher abundance.,,,,,
