species_id,canonical,source_file,sentence_id,sentence,context_text
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,4,"Continued seepage, light disturbance and limited competition are likely to maintain habitat suitability, whereas warmer drier summers could increase stress on the shallow wet substrates used by the species.","[context_3] Small colonies may fluctuate between years. [CURRENT] Continued seepage, light disturbance and limited competition are likely to maintain habitat suitability, whereas warmer drier summers could increase stress on the shallow wet substrates used by the species. [context_5] A boreal-montane species with a very restricted British range."
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,5,A boreal-montane species with a very restricted British range.,"[context_4] Continued seepage, light disturbance and limited competition are likely to maintain habitat suitability, whereas warmer drier summers could increase stress on the shallow wet substrates used by the species. [CURRENT] A boreal-montane species with a very restricted British range."
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,0,"An annual grass of sandy coastal ground, open dunes, walls, roadsides and other dry disturbed places.","[CURRENT] An annual grass of sandy coastal ground, open dunes, walls, roadsides and other dry disturbed places. [context_1] It is favoured by bare sand and warm open microsites, and can also appear from garden escapes."
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,1,"It is favoured by bare sand and warm open microsites, and can also appear from garden escapes.","[context_0] An annual grass of sandy coastal ground, open dunes, walls, roadsides and other dry disturbed places. [CURRENT] It is favoured by bare sand and warm open microsites, and can also appear from garden escapes. [context_2] Closed dune grassland and lack of disturbance reduce the open ground needed for recruitment."
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,2,Closed dune grassland and lack of disturbance reduce the open ground needed for recruitment.,"[context_1] It is favoured by bare sand and warm open microsites, and can also appear from garden escapes. [CURRENT] Closed dune grassland and lack of disturbance reduce the open ground needed for recruitment. [context_3] The species appears to be increasing in some sandy coastal habitats."
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,3,The species appears to be increasing in some sandy coastal habitats.,"[context_2] Closed dune grassland and lack of disturbance reduce the open ground needed for recruitment. [CURRENT] The species appears to be increasing in some sandy coastal habitats. [context_4] Continued seed supply from gardens and disturbed urban ground may support local spread, while severe winter cold may limit establishment inland."
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,4,"Continued seed supply from gardens and disturbed urban ground may support local spread, while severe winter cold may limit establishment inland.","[context_3] The species appears to be increasing in some sandy coastal habitats. [CURRENT] Continued seed supply from gardens and disturbed urban ground may support local spread, while severe winter cold may limit establishment inland. [context_5] A Mediterranean-Atlantic neophyte that is naturalised in several coastal areas."
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,5,A Mediterranean-Atlantic neophyte that is naturalised in several coastal areas.,"[context_4] Continued seed supply from gardens and disturbed urban ground may support local spread, while severe winter cold may limit establishment inland. [CURRENT] A Mediterranean-Atlantic neophyte that is naturalised in several coastal areas."
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,0,"An annual of cultivated land, disturbed field corners and waste ground.","[CURRENT] An annual of cultivated land, disturbed field corners and waste ground. [context_1] It requires open soil for germination and is easily overlooked among other dead-nettles."
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,1,It requires open soil for germination and is easily overlooked among other dead-nettles.,"[context_0] An annual of cultivated land, disturbed field corners and waste ground. [CURRENT] It requires open soil for germination and is easily overlooked among other dead-nettles. [context_2] Modern weed control, autumn-sown dense crops and reduced small-scale cultivation can lower the chance of plants reaching maturity."
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,2,"Modern weed control, autumn-sown dense crops and reduced small-scale cultivation can lower the chance of plants reaching maturity.","[context_1] It requires open soil for germination and is easily overlooked among other dead-nettles. [CURRENT] Modern weed control, autumn-sown dense crops and reduced small-scale cultivation can lower the chance of plants reaching maturity. [context_3] Declines are consistent with the loss of lightly managed cultivated ground."
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,3,Declines are consistent with the loss of lightly managed cultivated ground.,"[context_2] Modern weed control, autumn-sown dense crops and reduced small-scale cultivation can lower the chance of plants reaching maturity. [CURRENT] Declines are consistent with the loss of lightly managed cultivated ground. [context_4] Recent records may partly reflect targeted recording, so under-recording should be considered before treating absence as population loss."
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,4,"Recent records may partly reflect targeted recording, so under-recording should be considered before treating absence as population loss.","[context_3] Declines are consistent with the loss of lightly managed cultivated ground. [CURRENT] Recent records may partly reflect targeted recording, so under-recording should be considered before treating absence as population loss. [context_5] A northern archaeophyte with scattered and often casual records."
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,5,A northern archaeophyte with scattered and often casual records.,"[context_4] Recent records may partly reflect targeted recording, so under-recording should be considered before treating absence as population loss. [CURRENT] A northern archaeophyte with scattered and often casual records."
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,0,"A deciduous conifer planted in forestry, shelter-belts and parkland.","[CURRENT] A deciduous conifer planted in forestry, shelter-belts and parkland. [context_1] It regenerates from seed on disturbed mineral soil, scree and open rocky ground, especially where light reaches the ground layer."
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,1,"It regenerates from seed on disturbed mineral soil, scree and open rocky ground, especially where light reaches the ground layer.","[context_0] A deciduous conifer planted in forestry, shelter-belts and parkland. [CURRENT] It regenerates from seed on disturbed mineral soil, scree and open rocky ground, especially where light reaches the ground layer. [context_2] Very dry sites and waterlogged soils are less suitable for establishment."
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,2,Very dry sites and waterlogged soils are less suitable for establishment.,"[context_1] It regenerates from seed on disturbed mineral soil, scree and open rocky ground, especially where light reaches the ground layer. [CURRENT] Very dry sites and waterlogged soils are less suitable for establishment. [context_3] Natural regeneration can follow soil disturbance near planted trees."
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,3,Natural regeneration can follow soil disturbance near planted trees.,"[context_2] Very dry sites and waterlogged soils are less suitable for establishment. [CURRENT] Natural regeneration can follow soil disturbance near planted trees. [context_4] Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance, although continued planting creates new seed sources in some landscapes."
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,4,"Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance, although continued planting creates new seed sources in some landscapes.","[context_3] Natural regeneration can follow soil disturbance near planted trees. [CURRENT] Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance, although continued planting creates new seed sources in some landscapes. [context_5] A European mountain tree widely planted outside its native range."
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,5,A European mountain tree widely planted outside its native range.,"[context_4] Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance, although continued planting creates new seed sources in some landscapes. [CURRENT] A European mountain tree widely planted outside its native range."
